Sexo;Comunidad autónoma;Familia profesional;Total
Hombres;Castilla y León;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Hombres;Castilla y León;TEXTIL, CONFECCIÓN Y PIEL;55,6
Hombres;Castilla y León;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;66,2
Hombres;Castilla y León;VIDRIO Y CERÁMICA;.
Hombres;Castilla La Mancha;ACTIVIDADES FÍSICAS Y DEPORTIVAS;69,1
Hombres;Castilla La Mancha;ADMINISTRACIÓN Y GESTIÓN;78,6
Hombres;Castilla La Mancha;AGRARIA;74,9
Hombres;Castilla La Mancha;ARTES GRÁFICAS;65,9
Hombres;Castilla La Mancha;ARTES Y ARTESANÍAS;.
Hombres;Castilla La Mancha;COMERCIO Y MARKETING;69,0
Hombres;Castilla La Mancha;EDIFICACIÓN Y OBRA CIVIL;.
Hombres;Castilla La Mancha;ELECTRICIDAD Y ELECTRÓNICA;73,5
Hombres;Castilla La Mancha;ENERGÍA Y AGUA;.
Hombres;Castilla La Mancha;FABRICACIÓN MECÁNICA;68,9
Hombres;Castilla La Mancha;HOSTELERÍA Y TURISMO;77,4
Hombres;Castilla La Mancha;IMAGEN PERSONAL;64,6
Hombres;Castilla La Mancha;IMAGEN Y SONIDO;.
Hombres;Castilla La Mancha;INDUSTRIAS ALIMENTARIAS;64,7
Hombres;Castilla La Mancha;INDUSTRIAS EXTRACTIVAS;.
Hombres;Castilla La Mancha;INFORMÁTICA Y COMUNICACIONES;75,7
Hombres;Castilla La Mancha;INSTALACIÓN Y MANTENIMIENTO;73,6
Hombres;Castilla La Mancha;MADERA, MUEBLE Y CORCHO;93,4
Hombres;Castilla La Mancha;MARÍTIMO-PESQUERA;.
Hombres;Castilla La Mancha;QUÍMICA;.
Hombres;Castilla La Mancha;SANIDAD;.
Hombres;Castilla La Mancha;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Castilla La Mancha;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Hombres;Castilla La Mancha;TEXTIL, CONFECCIÓN Y PIEL;48,6
Hombres;Castilla La Mancha;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;68,0
Hombres;Castilla La Mancha;VIDRIO Y CERÁMICA;.
Hombres;Cataluña;ACTIVIDADES FÍSICAS Y DEPORTIVAS;..
Hombres;Cataluña;ADMINISTRACIÓN Y GESTIÓN;..
Hombres;Cataluña;AGRARIA;..
Hombres;Cataluña;ARTES GRÁFICAS;..
Hombres;Cataluña;ARTES Y ARTESANÍAS;..
Hombres;Cataluña;COMERCIO Y MARKETING;..
Hombres;Cataluña;EDIFICACIÓN Y OBRA CIVIL;..
Hombres;Cataluña;ELECTRICIDAD Y ELECTRÓNICA;..
Hombres;Cataluña;ENERGÍA Y AGUA;..
Hombres;Cataluña;FABRICACIÓN MECÁNICA;..
Hombres;Cataluña;HOSTELERÍA Y TURISMO;..
Hombres;Cataluña;IMAGEN PERSONAL;..
Hombres;Cataluña;IMAGEN Y SONIDO;..
Hombres;Cataluña;INDUSTRIAS ALIMENTARIAS;..
Hombres;Cataluña;INDUSTRIAS EXTRACTIVAS;..
Hombres;Cataluña;INFORMÁTICA Y COMUNICACIONES;..
Hombres;Cataluña;INSTALACIÓN Y MANTENIMIENTO;..
Hombres;Cataluña;MADERA, MUEBLE Y CORCHO;..
Hombres;Cataluña;MARÍTIMO-PESQUERA;..
Hombres;Cataluña;QUÍMICA;..
Hombres;Cataluña;SANIDAD;..
Hombres;Cataluña;SEGURIDAD Y MEDIO AMBIENTE;..
Hombres;Cataluña;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;..
Hombres;Cataluña;TEXTIL, CONFECCIÓN Y PIEL;..
Hombres;Cataluña;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;..
Hombres;Cataluña;VIDRIO Y CERÁMICA;..
Hombres;Comunitat Valenciana;ACTIVIDADES FÍSICAS Y DEPORTIVAS;82,7
Hombres;Comunitat Valenciana;ADMINISTRACIÓN Y GESTIÓN;78,9
Hombres;Comunitat Valenciana;AGRARIA;77,1
Hombres;Comunitat Valenciana;ARTES GRÁFICAS;78,6
Hombres;Comunitat Valenciana;ARTES Y ARTESANÍAS;.
Hombres;Comunitat Valenciana;COMERCIO Y MARKETING;76,6
Hombres;Comunitat Valenciana;EDIFICACIÓN Y OBRA CIVIL;68,6
Hombres;Comunitat Valenciana;ELECTRICIDAD Y ELECTRÓNICA;75,4
Hombres;Comunitat Valenciana;ENERGÍA Y AGUA;.
Hombres;Comunitat Valenciana;FABRICACIÓN MECÁNICA;73,9
Hombres;Comunitat Valenciana;HOSTELERÍA Y TURISMO;74,3
Hombres;Comunitat Valenciana;IMAGEN PERSONAL;66,8
Hombres;Comunitat Valenciana;IMAGEN Y SONIDO;.
Hombres;Comunitat Valenciana;INDUSTRIAS ALIMENTARIAS;83,2
Hombres;Comunitat Valenciana;INDUSTRIAS EXTRACTIVAS;.
Hombres;Comunitat Valenciana;INFORMÁTICA Y COMUNICACIONES;79,8
Hombres;Comunitat Valenciana;INSTALACIÓN Y MANTENIMIENTO;66,6
Hombres;Comunitat Valenciana;MADERA, MUEBLE Y CORCHO;76,3
Hombres;Comunitat Valenciana;MARÍTIMO-PESQUERA;60,6
Hombres;Comunitat Valenciana;QUÍMICA;.
Hombres;Comunitat Valenciana;SANIDAD;.
Hombres;Comunitat Valenciana;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Comunitat Valenciana;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;52,4
Hombres;Comunitat Valenciana;TEXTIL, CONFECCIÓN Y PIEL;66,1
Hombres;Comunitat Valenciana;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;78,8
Hombres;Comunitat Valenciana;VIDRIO Y CERÁMICA;80,2
Hombres;Extremadura;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Hombres;Extremadura;ADMINISTRACIÓN Y GESTIÓN;71,1
Hombres;Extremadura;AGRARIA;76,1
Hombres;Extremadura;ARTES GRÁFICAS;75,2
Hombres;Extremadura;ARTES Y ARTESANÍAS;.
Hombres;Extremadura;COMERCIO Y MARKETING;76,4
Hombres;Extremadura;EDIFICACIÓN Y OBRA CIVIL;74,4
Hombres;Extremadura;ELECTRICIDAD Y ELECTRÓNICA;68,9
Hombres;Extremadura;ENERGÍA Y AGUA;.
Hombres;Extremadura;FABRICACIÓN MECÁNICA;67,7
Hombres;Extremadura;HOSTELERÍA Y TURISMO;70,8
Hombres;Extremadura;IMAGEN PERSONAL;53,5
Hombres;Extremadura;IMAGEN Y SONIDO;.
Hombres;Extremadura;INDUSTRIAS ALIMENTARIAS;85,1
Hombres;Extremadura;INDUSTRIAS EXTRACTIVAS;.
Hombres;Extremadura;INFORMÁTICA Y COMUNICACIONES;67,4
Hombres;Extremadura;INSTALACIÓN Y MANTENIMIENTO;.
Hombres;Extremadura;MADERA, MUEBLE Y CORCHO;62,8
Hombres;Extremadura;MARÍTIMO-PESQUERA;.
Hombres;Extremadura;QUÍMICA;.
Hombres;Extremadura;SANIDAD;.
Hombres;Extremadura;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Extremadura;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;99,2
Hombres;Extremadura;TEXTIL, CONFECCIÓN Y PIEL;.
Hombres;Extremadura;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;64,3
Hombres;Extremadura;VIDRIO Y CERÁMICA;.
Hombres;Galicia;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Hombres;Galicia;ADMINISTRACIÓN Y GESTIÓN;78,7
Hombres;Galicia;AGRARIA;78,0
Hombres;Galicia;ARTES GRÁFICAS;73,9
Hombres;Galicia;ARTES Y ARTESANÍAS;.
Hombres;Galicia;COMERCIO Y MARKETING;78,3
Hombres;Galicia;EDIFICACIÓN Y OBRA CIVIL;66,7
Hombres;Galicia;ELECTRICIDAD Y ELECTRÓNICA;75,3
Hombres;Galicia;ENERGÍA Y AGUA;.
Hombres;Galicia;FABRICACIÓN MECÁNICA;75,9
Hombres;Galicia;HOSTELERÍA Y TURISMO;87,1
Hombres;Galicia;IMAGEN PERSONAL;77,1
Hombres;Galicia;IMAGEN Y SONIDO;.
Hombres;Galicia;INDUSTRIAS ALIMENTARIAS;80,4
Hombres;Galicia;INDUSTRIAS EXTRACTIVAS;.
Hombres;Galicia;INFORMÁTICA Y COMUNICACIONES;81,5
Hombres;Galicia;INSTALACIÓN Y MANTENIMIENTO;71,4
Hombres;Galicia;MADERA, MUEBLE Y CORCHO;74,6
Hombres;Galicia;MARÍTIMO-PESQUERA;88,2
Hombres;Galicia;QUÍMICA;.
Hombres;Galicia;SANIDAD;.
Hombres;Galicia;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Galicia;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;92,9
Hombres;Galicia;TEXTIL, CONFECCIÓN Y PIEL;46,2
Hombres;Galicia;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;70,8
Hombres;Galicia;VIDRIO Y CERÁMICA;.
Hombres;Comunidad de Madrid;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Hombres;Comunidad de Madrid;ADMINISTRACIÓN Y GESTIÓN;61,5
Hombres;Comunidad de Madrid;AGRARIA;74,8
Hombres;Comunidad de Madrid;ARTES GRÁFICAS;71,3
Hombres;Comunidad de Madrid;ARTES Y ARTESANÍAS;.
Hombres;Comunidad de Madrid;COMERCIO Y MARKETING;66,0
Hombres;Comunidad de Madrid;EDIFICACIÓN Y OBRA CIVIL;.
Hombres;Comunidad de Madrid;ELECTRICIDAD Y ELECTRÓNICA;59,9
Hombres;Comunidad de Madrid;ENERGÍA Y AGUA;.
Hombres;Comunidad de Madrid;FABRICACIÓN MECÁNICA;65,3
Hombres;Comunidad de Madrid;HOSTELERÍA Y TURISMO;66,7
Hombres;Comunidad de Madrid;IMAGEN PERSONAL;58,0
Hombres;Comunidad de Madrid;IMAGEN Y SONIDO;.
Hombres;Comunidad de Madrid;INDUSTRIAS ALIMENTARIAS;.
Hombres;Comunidad de Madrid;INDUSTRIAS EXTRACTIVAS;.
Hombres;Comunidad de Madrid;INFORMÁTICA Y COMUNICACIONES;65,2
Hombres;Comunidad de Madrid;INSTALACIÓN Y MANTENIMIENTO;.
Hombres;Comunidad de Madrid;MADERA, MUEBLE Y CORCHO;72,9
Hombres;Comunidad de Madrid;MARÍTIMO-PESQUERA;.
Hombres;Comunidad de Madrid;QUÍMICA;.
Hombres;Comunidad de Madrid;SANIDAD;.
Hombres;Comunidad de Madrid;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Comunidad de Madrid;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Hombres;Comunidad de Madrid;TEXTIL, CONFECCIÓN Y PIEL;.
Hombres;Comunidad de Madrid;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;57,7
Hombres;Comunidad de Madrid;VIDRIO Y CERÁMICA;.
Hombres;Región de Murcia;ACTIVIDADES FÍSICAS Y DEPORTIVAS;..
Hombres;Región de Murcia;ADMINISTRACIÓN Y GESTIÓN;70,3
Hombres;Región de Murcia;AGRARIA;80,3
Hombres;Región de Murcia;ARTES GRÁFICAS;79,0
Hombres;Región de Murcia;ARTES Y ARTESANÍAS;..
Hombres;Región de Murcia;COMERCIO Y MARKETING;78,6
Hombres;Región de Murcia;EDIFICACIÓN Y OBRA CIVIL;..
Hombres;Región de Murcia;ELECTRICIDAD Y ELECTRÓNICA;67,5
Hombres;Región de Murcia;ENERGÍA Y AGUA;..
Hombres;Región de Murcia;FABRICACIÓN MECÁNICA;72,9
Hombres;Región de Murcia;HOSTELERÍA Y TURISMO;80,9
Hombres;Región de Murcia;IMAGEN PERSONAL;70,7
Hombres;Región de Murcia;IMAGEN Y SONIDO;..
Hombres;Región de Murcia;INDUSTRIAS ALIMENTARIAS;69,9
Hombres;Región de Murcia;INDUSTRIAS EXTRACTIVAS;..
Hombres;Región de Murcia;INFORMÁTICA Y COMUNICACIONES;72,8
Hombres;Región de Murcia;INSTALACIÓN Y MANTENIMIENTO;68,4
Hombres;Región de Murcia;MADERA, MUEBLE Y CORCHO;60,1
Hombres;Región de Murcia;MARÍTIMO-PESQUERA;..
Hombres;Región de Murcia;QUÍMICA;..
Hombres;Región de Murcia;SANIDAD;..
Hombres;Región de Murcia;SEGURIDAD Y MEDIO AMBIENTE;..
Hombres;Región de Murcia;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;..
Hombres;Región de Murcia;TEXTIL, CONFECCIÓN Y PIEL;41,9
Hombres;Región de Murcia;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;69,3
Hombres;Región de Murcia;VIDRIO Y CERÁMICA;..
Hombres;Comunidad Foral de Navarra;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Hombres;Comunidad Foral de Navarra;ADMINISTRACIÓN Y GESTIÓN;93,9
Hombres;Comunidad Foral de Navarra;AGRARIA;75,3
Hombres;Comunidad Foral de Navarra;ARTES GRÁFICAS;66,7
Hombres;Comunidad Foral de Navarra;ARTES Y ARTESANÍAS;.
Hombres;Comunidad Foral de Navarra;COMERCIO Y MARKETING;73,1
Hombres;Comunidad Foral de Navarra;EDIFICACIÓN Y OBRA CIVIL;59,0
Hombres;Comunidad Foral de Navarra;ELECTRICIDAD Y ELECTRÓNICA;80,5
Hombres;Comunidad Foral de Navarra;ENERGÍA Y AGUA;.
Hombres;Comunidad Foral de Navarra;FABRICACIÓN MECÁNICA;80,3
Hombres;Comunidad Foral de Navarra;HOSTELERÍA Y TURISMO;83,1
Hombres;Comunidad Foral de Navarra;IMAGEN PERSONAL;72,4
Hombres;Comunidad Foral de Navarra;IMAGEN Y SONIDO;.
Hombres;Comunidad Foral de Navarra;INDUSTRIAS ALIMENTARIAS;51,7
Hombres;Comunidad Foral de Navarra;INDUSTRIAS EXTRACTIVAS;.
Hombres;Comunidad Foral de Navarra;INFORMÁTICA Y COMUNICACIONES;82,4
Hombres;Comunidad Foral de Navarra;INSTALACIÓN Y MANTENIMIENTO;.
Hombres;Comunidad Foral de Navarra;MADERA, MUEBLE Y CORCHO;98,6
Hombres;Comunidad Foral de Navarra;MARÍTIMO-PESQUERA;.
Hombres;Comunidad Foral de Navarra;QUÍMICA;.
Hombres;Comunidad Foral de Navarra;SANIDAD;.
Hombres;Comunidad Foral de Navarra;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Comunidad Foral de Navarra;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Hombres;Comunidad Foral de Navarra;TEXTIL, CONFECCIÓN Y PIEL;63,6
Hombres;Comunidad Foral de Navarra;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;80,6
Hombres;Comunidad Foral de Navarra;VIDRIO Y CERÁMICA;.
Hombres;País Vasco;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Hombres;País Vasco;ADMINISTRACIÓN Y GESTIÓN;95,3
Hombres;País Vasco;AGRARIA;89,6
Hombres;País Vasco;ARTES GRÁFICAS;96,2
Hombres;País Vasco;ARTES Y ARTESANÍAS;.
Hombres;País Vasco;COMERCIO Y MARKETING;88,6
Hombres;País Vasco;EDIFICACIÓN Y OBRA CIVIL;96,7
Hombres;País Vasco;ELECTRICIDAD Y ELECTRÓNICA;80,2
Hombres;País Vasco;ENERGÍA Y AGUA;.
Hombres;País Vasco;FABRICACIÓN MECÁNICA;77,9
Hombres;País Vasco;HOSTELERÍA Y TURISMO;76,7
Hombres;País Vasco;IMAGEN PERSONAL;84,8
Hombres;País Vasco;IMAGEN Y SONIDO;.
Hombres;País Vasco;INDUSTRIAS ALIMENTARIAS;37,9
Hombres;País Vasco;INDUSTRIAS EXTRACTIVAS;.
Hombres;País Vasco;INFORMÁTICA Y COMUNICACIONES;92,1
Hombres;País Vasco;INSTALACIÓN Y MANTENIMIENTO;84,6
Hombres;País Vasco;MADERA, MUEBLE Y CORCHO;77,4
Hombres;País Vasco;MARÍTIMO-PESQUERA;.
Hombres;País Vasco;QUÍMICA;.
Hombres;País Vasco;SANIDAD;.
Hombres;País Vasco;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;País Vasco;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;96,1
Hombres;País Vasco;TEXTIL, CONFECCIÓN Y PIEL;67,5
Hombres;País Vasco;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;85,6
Hombres;País Vasco;VIDRIO Y CERÁMICA;.
Hombres;La Rioja;ACTIVIDADES FÍSICAS Y DEPORTIVAS;63,6
Hombres;La Rioja;ADMINISTRACIÓN Y GESTIÓN;70,4
Hombres;La Rioja;AGRARIA;64,6
Hombres;La Rioja;ARTES GRÁFICAS;.
Hombres;La Rioja;ARTES Y ARTESANÍAS;.
Hombres;La Rioja;COMERCIO Y MARKETING;78,8
Hombres;La Rioja;EDIFICACIÓN Y OBRA CIVIL;.
Hombres;La Rioja;ELECTRICIDAD Y ELECTRÓNICA;60,4
Hombres;La Rioja;ENERGÍA Y AGUA;.
Hombres;La Rioja;FABRICACIÓN MECÁNICA;63,1
Hombres;La Rioja;HOSTELERÍA Y TURISMO;48,5
Hombres;La Rioja;IMAGEN PERSONAL;72,0
Hombres;La Rioja;IMAGEN Y SONIDO;.
Hombres;La Rioja;INDUSTRIAS ALIMENTARIAS;.
Hombres;La Rioja;INDUSTRIAS EXTRACTIVAS;.
Hombres;La Rioja;INFORMÁTICA Y COMUNICACIONES;60,7
Hombres;La Rioja;INSTALACIÓN Y MANTENIMIENTO;.
Hombres;La Rioja;MADERA, MUEBLE Y CORCHO;78,2
Hombres;La Rioja;MARÍTIMO-PESQUERA;.
Hombres;La Rioja;QUÍMICA;.
Hombres;La Rioja;SANIDAD;.
Hombres;La Rioja;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;La Rioja;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;33,3
Hombres;La Rioja;TEXTIL, CONFECCIÓN Y PIEL;78,9
Hombres;La Rioja;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;73,8
Hombres;La Rioja;VIDRIO Y CERÁMICA;.
Hombres;Ceuta;ACTIVIDADES FÍSICAS Y DEPORTIVAS;92,2
Hombres;Ceuta;ADMINISTRACIÓN Y GESTIÓN;.
Hombres;Ceuta;AGRARIA;36,8
Hombres;Ceuta;ARTES GRÁFICAS;.
Hombres;Ceuta;ARTES Y ARTESANÍAS;.
Hombres;Ceuta;COMERCIO Y MARKETING;66,4
Hombres;Ceuta;EDIFICACIÓN Y OBRA CIVIL;42,5
Hombres;Ceuta;ELECTRICIDAD Y ELECTRÓNICA;58,0
Hombres;Ceuta;ENERGÍA Y AGUA;.
Hombres;Ceuta;FABRICACIÓN MECÁNICA;.
Hombres;Ceuta;HOSTELERÍA Y TURISMO;20,9
Hombres;Ceuta;IMAGEN PERSONAL;53,8
Hombres;Ceuta;IMAGEN Y SONIDO;.
Hombres;Ceuta;INDUSTRIAS ALIMENTARIAS;.
Hombres;Ceuta;INDUSTRIAS EXTRACTIVAS;.
Hombres;Ceuta;INFORMÁTICA Y COMUNICACIONES;.
Hombres;Ceuta;INSTALACIÓN Y MANTENIMIENTO;57,5
Hombres;Ceuta;MADERA, MUEBLE Y CORCHO;.
Hombres;Ceuta;MARÍTIMO-PESQUERA;.
Hombres;Ceuta;QUÍMICA;.
Hombres;Ceuta;SANIDAD;.
Hombres;Ceuta;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Ceuta;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Hombres;Ceuta;TEXTIL, CONFECCIÓN Y PIEL;.
Hombres;Ceuta;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;30,9
Hombres;Ceuta;VIDRIO Y CERÁMICA;.
Hombres;Melilla;ACTIVIDADES FÍSICAS Y DEPORTIVAS;63,8
Hombres;Melilla;ADMINISTRACIÓN Y GESTIÓN;59,6
Hombres;Melilla;AGRARIA;.
Hombres;Melilla;ARTES GRÁFICAS;82,2
Hombres;Melilla;ARTES Y ARTESANÍAS;.
Hombres;Melilla;COMERCIO Y MARKETING;64,3
Hombres;Melilla;EDIFICACIÓN Y OBRA CIVIL;.
Hombres;Melilla;ELECTRICIDAD Y ELECTRÓNICA;36,6
Hombres;Melilla;ENERGÍA Y AGUA;.
Hombres;Melilla;FABRICACIÓN MECÁNICA;58,3
Hombres;Melilla;HOSTELERÍA Y TURISMO;57,3
Hombres;Melilla;IMAGEN PERSONAL;66,7
Hombres;Melilla;IMAGEN Y SONIDO;.
Hombres;Melilla;INDUSTRIAS ALIMENTARIAS;.
Hombres;Melilla;INDUSTRIAS EXTRACTIVAS;.
Hombres;Melilla;INFORMÁTICA Y COMUNICACIONES;62,8
Hombres;Melilla;INSTALACIÓN Y MANTENIMIENTO;.
Hombres;Melilla;MADERA, MUEBLE Y CORCHO;67,5
Hombres;Melilla;MARÍTIMO-PESQUERA;.
Hombres;Melilla;QUÍMICA;.
Hombres;Melilla;SANIDAD;.
Hombres;Melilla;SEGURIDAD Y MEDIO AMBIENTE;.
Hombres;Melilla;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Hombres;Melilla;TEXTIL, CONFECCIÓN Y PIEL;.
Hombres;Melilla;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;47,7
Hombres;Melilla;VIDRIO Y CERÁMICA;.
Mujeres;Porcentajes total de módulos aprobados;ACTIVIDADES FÍSICAS Y DEPORTIVAS;83,1
Mujeres;Porcentajes total de módulos aprobados;ADMINISTRACIÓN Y GESTIÓN;74,3
Mujeres;Porcentajes total de módulos aprobados;AGRARIA;72,0
Mujeres;Porcentajes total de módulos aprobados;ARTES GRÁFICAS;76,2
Mujeres;Porcentajes total de módulos aprobados;ARTES Y ARTESANÍAS;.
Mujeres;Porcentajes total de módulos aprobados;COMERCIO Y MARKETING;75,8
Mujeres;Porcentajes total de módulos aprobados;EDIFICACIÓN Y OBRA CIVIL;66,7
Mujeres;Porcentajes total de módulos aprobados;ELECTRICIDAD Y ELECTRÓNICA;67,7
Mujeres;Porcentajes total de módulos aprobados;ENERGÍA Y AGUA;.
Mujeres;Porcentajes total de módulos aprobados;FABRICACIÓN MECÁNICA;75,5
Mujeres;Porcentajes total de módulos aprobados;HOSTELERÍA Y TURISMO;74,2
Mujeres;Porcentajes total de módulos aprobados;IMAGEN PERSONAL;73,5
Mujeres;Porcentajes total de módulos aprobados;IMAGEN Y SONIDO;.
Mujeres;Porcentajes total de módulos aprobados;INDUSTRIAS ALIMENTARIAS;78,7
Mujeres;Porcentajes total de módulos aprobados;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Porcentajes total de módulos aprobados;INFORMÁTICA Y COMUNICACIONES;72,0
Mujeres;Porcentajes total de módulos aprobados;INSTALACIÓN Y MANTENIMIENTO;52,2
Mujeres;Porcentajes total de módulos aprobados;MADERA, MUEBLE Y CORCHO;72,5
Mujeres;Porcentajes total de módulos aprobados;MARÍTIMO-PESQUERA;71,4
Mujeres;Porcentajes total de módulos aprobados;QUÍMICA;.
Mujeres;Porcentajes total de módulos aprobados;SANIDAD;.
Mujeres;Porcentajes total de módulos aprobados;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Porcentajes total de módulos aprobados;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;81,9
Mujeres;Porcentajes total de módulos aprobados;TEXTIL, CONFECCIÓN Y PIEL;68,2
Mujeres;Porcentajes total de módulos aprobados;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;64,6
Mujeres;Porcentajes total de módulos aprobados;VIDRIO Y CERÁMICA;76,5
Mujeres;Andalucía;ACTIVIDADES FÍSICAS Y DEPORTIVAS;100,0
Mujeres;Andalucía;ADMINISTRACIÓN Y GESTIÓN;75,2
Mujeres;Andalucía;AGRARIA;66,7
Mujeres;Andalucía;ARTES GRÁFICAS;68,2
Mujeres;Andalucía;ARTES Y ARTESANÍAS;.
Mujeres;Andalucía;COMERCIO Y MARKETING;73,7
Mujeres;Andalucía;EDIFICACIÓN Y OBRA CIVIL;77,2
Mujeres;Andalucía;ELECTRICIDAD Y ELECTRÓNICA;62,3
Mujeres;Andalucía;ENERGÍA Y AGUA;.
Mujeres;Andalucía;FABRICACIÓN MECÁNICA;71,7
Mujeres;Andalucía;HOSTELERÍA Y TURISMO;69,7
Mujeres;Andalucía;IMAGEN PERSONAL;74,2
Mujeres;Andalucía;IMAGEN Y SONIDO;.
Mujeres;Andalucía;INDUSTRIAS ALIMENTARIAS;81,5
Mujeres;Andalucía;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Andalucía;INFORMÁTICA Y COMUNICACIONES;73,2
Mujeres;Andalucía;INSTALACIÓN Y MANTENIMIENTO;.
Mujeres;Andalucía;MADERA, MUEBLE Y CORCHO;69,8
Mujeres;Andalucía;MARÍTIMO-PESQUERA;.
Mujeres;Andalucía;QUÍMICA;.
Mujeres;Andalucía;SANIDAD;.
Mujeres;Andalucía;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Andalucía;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;77,1
Mujeres;Andalucía;TEXTIL, CONFECCIÓN Y PIEL;54,1
Mujeres;Andalucía;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;72,7
Mujeres;Andalucía;VIDRIO Y CERÁMICA;45,7
Mujeres;Aragón;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Mujeres;Aragón;ADMINISTRACIÓN Y GESTIÓN;62,4
Mujeres;Aragón;AGRARIA;60,3
Mujeres;Aragón;ARTES GRÁFICAS;73,2
Mujeres;Aragón;ARTES Y ARTESANÍAS;.
Mujeres;Aragón;COMERCIO Y MARKETING;70,0
Mujeres;Aragón;EDIFICACIÓN Y OBRA CIVIL;.
Mujeres;Aragón;ELECTRICIDAD Y ELECTRÓNICA;70,5
Mujeres;Aragón;ENERGÍA Y AGUA;.
Mujeres;Aragón;FABRICACIÓN MECÁNICA;86,7
Mujeres;Aragón;HOSTELERÍA Y TURISMO;79,2
Mujeres;Aragón;IMAGEN PERSONAL;68,8
Mujeres;Aragón;IMAGEN Y SONIDO;.
Mujeres;Aragón;INDUSTRIAS ALIMENTARIAS;100,0
Mujeres;Aragón;INDUSTRIAS EXTRACTIVAS;.
Mujeres;Aragón;INFORMÁTICA Y COMUNICACIONES;65,2
Mujeres;Aragón;INSTALACIÓN Y MANTENIMIENTO;.
Mujeres;Aragón;MADERA, MUEBLE Y CORCHO;83,3
Mujeres;Aragón;MARÍTIMO-PESQUERA;.
Mujeres;Aragón;QUÍMICA;.
Mujeres;Aragón;SANIDAD;.
Mujeres;Aragón;SEGURIDAD Y MEDIO AMBIENTE;.
Mujeres;Aragón;SERVICIOS SOCIOCULTURALES Y A LA COMUNIDAD;.
Mujeres;Aragón;TEXTIL, CONFECCIÓN Y PIEL;75,5
Mujeres;Aragón;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;76,2
Mujeres;Aragón;VIDRIO Y CERÁMICA;.
Mujeres;Principado de Asturias;ACTIVIDADES FÍSICAS Y DEPORTIVAS;.
Mujeres;Principado de Asturias;ADMINISTRACIÓN Y GESTIÓN;66,9
Mujeres;Principado de Asturias;AGRARIA;.
Mujeres;Principado de Asturias;ARTES GRÁFICAS;.
Mujeres;Principado de Asturias;ARTES Y ARTESANÍAS;.
Mujeres;Principado de Asturias;COMERCIO Y MARKETING;48,9
Mujeres;Principado de Asturias;EDIFICACIÓN Y OBRA CIVIL;.
